Industry,Ticker,mcap,Debt_M,Cash_M,SI%,institutes%,Pending Shelf_M
Mag7,AAPL,3949.13,112400.0,35930.0,0.0,0.0,5000.0
battery_materials_mining,ABAT,0.61,0.27,55.6,11.86,0.0,45.0
evtol_air_mobility,ACHR,5.59,88.6,1640.0,15.17,43.99,450.0
ev_charging_infrastructure,ADSE,0.73,0.0,0.0,0.22,30.19,50.0
lidar_sensing,AEVA,0.79,6.12,48.9,21.49,64.59,250.0
power_management_chips,ALAB,28.23,0.0,0.0,8.17,0.0,400.0
battery_materials_mining,ALB,17.2,3760.0,1930.0,8.31,92.87,2500.0
batteries_storage_tech,AMPX,1.2,0.0,0.0,10.36,58.38,100.0
Mag7,AMZN,2491.46,160400.0,101200.0,0.76,0.0,8000.0
power_management_chips,AOSL,0.64,0.0,169.57,6.31,78.97,150.0
Hyperscalers,APLD,8.45,703.0,286.0,32.63,0.0,125.0
lidar_sensing,ARBE,0.14,0.0,36.7,3.35,0.0,85.0
quantum,ARQQ,0.44,0.0,36.9,,,85.0
earth_observation,ASTS,32.89,0.0,1220.123,14.44,61.0,400.0
battery_materials_mining,ATLX,0.13,10.1,20.98,,,40.0
autonomous_driving,AUR,7.72,107.0,1247.0,8.91,94.94,443.3
uas_defense_robotics,AVAV,14.85,726.79,588.48,4.52,83.19,1200.0
Mag7,AVGO,1628.25,64220.0,16200.0,1.22,79.87,4500.0
hydrogen_fuel_cells,BE,24.57,0.0,0.0,8.14,0.0,450.0
ev_charging_infrastructure,BEEM,0.03,0.0,0.0,6.89,14.85,75.0
Mining,BITF,2.36,644.6,43.0,14.3,29.79,300.0
earth_observation,BKSY,0.82,0.0,147.6,24.37,52.84,125.0
hydrogen_fuel_cells,BLDP,,,,6.89,0.0,250.0
ev_charging_infrastructure,BLNK,0.1,0.0,0.0,14.38,15.11,150.0
Mining,BTBT,0.72,18.3,47.0,17.02,46.61,175.0
hydrogen_fuel_cells,BW,0.73,,,2.51,0.0,65.0
new_nuclear_energy,BWXT,17.28,0.0,0.0,2.53,94.39,850.0
new_nuclear_energy,CCJ,43.66,725.0,565.0,1.62,70.21,1200.0
,CEG,110.84,,,,,2500.0
ev_charging_infrastructure,CHPT,0.17,0.0,0.0,16.18,17.66,400.0
Hyperscalers,CIFR,7.17,1040.0,1200.0,19.83,0.0,350.0
Mining,CLSK,3.14,285.35,330.7,31.54,75.11,450.0
power_management_chips,COHR,29.29,0.0,0.0,3.94,94.82,750.0
power_management_chips,COHR,29.29,0.0,0.0,3.94,94.82,750.0
power_management_chips,COHR,29.29,0.0,0.0,3.94,94.82,750.0
power_management_chips,COHR,29.29,0.0,0.0,3.94,94.82,750.0
Hyperscalers,CORZ,5.19,1160.0,453.0,19.29,0.0,450.0
Hyperscalers,CRWV,38.3,14084.0,1900.0,12.94,0.0,500.0
uas_defense_robotics,DPRO,0.25,0.25,51.81,10.53,10.39,50.0
battery_materials_mining,ELVR,1.36,0.0,0.0,2.64,4.98,25.0
batteries_storage_sw,ENPH,4.45,,,,,2500.0
batteries_storage_tech,ENVX,1.88,530.0,558.82,0.0,0.0,250.0
batteries_storage_sw,EOSE,4.27,448.5,58.73,30.69,51.25,300.0
evtol_air_mobility,EVEX,1.57,168.09,410.07,1.01,10.49,250.0
ev_charging_infrastructure,EVGO,0.94,0.0,0.0,26.56,76.16,250.0
evtol_air_mobility,EVTL,0.6,0.0,123.4,15.79,16.03,150.0
hydrogen_fuel_cells,FCEL,0.39,102.9,236.9,11.18,0.0,185.0
batteries_storage_sw,FLNC,0.07,390.8,690.77,33.67,69.8,500.0
space_launch_systems,FLY,4.1,0.0,0.0,1.84,37.56,200.0
Mag7,GOOG,3820.61,21607.0,98490.0,0.0,0.0,6500.0
batteries_storage_sw,GWH,0.04,8.29,0.0,3.6,46.77,85.0
Mining,HIVE,0.99,73.684,637.0,6.1,30.07,285.0
Mining,HUT,6.37,150.0,179.1,15.33,57.02,400.0
hydrogen_fuel_cells,HYLN,0.34,,,11.39,26.05,150.0
new_nuclear_energy,IMSR,,0.0,0.0,1.5,9.16,0.0
power_management_chips,INDI,0.8,0.0,0.0,25.11,98.93,200.0
power_management_chips,INDI,0.8,0.0,0.0,25.11,98.93,200.0
power_management_chips,INDI,0.8,0.0,0.0,25.11,98.93,200.0
power_management_chips,INDI,0.8,0.0,0.0,25.11,98.93,200.0
,INVZ,0.26,,,,,185.0
quantum,IONQ,17.26,28.516,1500.0,20.08,49.9,450.0
service_robotics,IRBT,0.0,205.3,24.8,44.62,44.54,0.0
earth_observation,IRDM,1.9,0.0,88.5,8.09,95.02,500.0
Mining,IREN,13.92,2300.0,1030.0,20.25,39.53,650.0
evtol_air_mobility,JOBY,14.63,45.61,978.1,9.36,51.47,591.0
autonomous_driving,KDK,1.88,549.0,168.0,8.57,41.0,65.0
uas_defense_robotics,KTOS,15.18,0.0,0.0,5.59,91.35,600.0
