address,cex_name,distinct_name
AobVSwdW9BbpMdJvTqeCN4hPAmh4rHm7vwLnQ5ATSyrS,Crypto.com,Crypto.com 2
9ftgm6hjulcpa8an4sfg5yshuexdzbtmedcxsyntnwh5,Robinhood,Robinhood 3
12T1tgaYZzEkFpnPvyqttmPRJxbGbR4uDx49cvZR5SRF,Bitfinex,Bitfinex 1
DdzFFzCqrhstFM5XQYA28G2ekCkvpb6bPdhUT5vcsZtq,Bitfinex,Bitfinex 5
rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,Backpack,Backpack 7
AjCHG7CYJST379Eh7xLqhRaUyBzurFKjsX7z8DTrfGZp,CoinDCX,CoinDCX 13
Bq6NnW55ToJrAM7NxUYDmSMbKKCQ6f742ZemLiypqjzY,CoinDCX,CoinDCX 14
at7s987xtv86xx265k42gtvuvkt4vyjjxgqn9wat2zmd,CoinDCX,CoinDCX 19
BWZqi67kXsvf5crjd19Fb3gmf3DCipGE8eWWJT2YHDXQ,OKX,OKX 14
1xpD24SQ9UgeFPQ2P9eRc7dppjgU9hiHDULqvWNfH3g3,OKX,OKX 28
H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,Coinbase,Coinbase 1
1UJSCYLh44UYhkm1WwXAwT2W8nirTD74VzPsdhfsstY8,Bitfinex,Bitfinex 3
FyJBKcfcEBzGN74uNxZ95GxnCxeuJJujQCELpPv14ZfN,Bitfinex,Bitfinex 11
4DgunMfBb19GaMZ1Z48oqcymZ4eBA4v5SUdRnapzj66G,Coinsquare,Coinsquare 2
Cet3t77x2BBVSmiEFm8ZPoDSngbpso2RuWPL79Ky7SpA,Swissborg,Swissborg 1
15mENJiKxtbxE2PNcB8qTaatYKjFTN4kitEzZ5eiHFGW,Swissborg,Swissborg 7
7SRyi7urg28j1XtioKbcJLtkL9Pqu39Y4CTAXwmu2Hts,CoinList,CoinList 1
mb1eu7TzEc71KxDpsmsKoucSSuuoGLv1drys1oP2jh6,Backpack,Backpack 6
42brAgAVNzMBP7aaktPvAmBSPEkehnFQejiZc53EpJFd,Bybit,Bybit 1
8wkq8ywmughxkm7n75d2fmrgnmvwun6rhepyknjxqm99,Korbit,Korbit 1
7o9ukGhWvc71yYcjinKnrxMn2kFMyQD1iCG3romrzg7r,OKX,OKX 7
945SJTwsBSqwEEgtKMnhcLDnJowP6YpJUTEykMVK5k6q,OKX,OKX 9
APJmXrtC9TUAg5gcjbcsVUiVzeDv85xLZRLad1GiQTNE,OKX,OKX 11
5kiqH41rz2wPoNH5FuDJ3x8dB3EEe3XGoSWy2485tAp9,OKX,OKX 32
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,Binance,Binance 4
3gd3dqgtJ4jWfBfLYTX67DALFetjc5iS72sCgRhCkW2u,Binance,Binance 18
GBrURzmtWujJRTA3Bkvo7ZgWuZYLMMwPCwre7BejJXnK,Binance,Binance 21
6oCa9Tz8VXVp63WiFyruE5PD6yXz3pCsv6oGzUGvg9TP,Binance,Binance 22
GK35nWN6ZHSGZrRTf8kTQd8RkFCighChPEb41XwSFVAC,Binance,Binance 23
EPauhjQjjTBCpeBtszS3xGRASLpEJFM1cspSiFRXZa9Z,Binance,Binance 24
13AE11jLvxcxsjqaSoWFXCTGUfbjXb1gmZTY8x3TXJzW,Bitfinex,Bitfinex 2
J4rzLDLhLWFpjSgCMCcxTU84bQ8AH5vhgjwq7SjYVk8Q,Bitfinex,Bitfinex 10
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,Backpack,Backpack 3
jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,Backpack,Backpack 5
HBxZShcE86UMmF93KUM8eWJKqeEXi5cqWCLYLMMhqMYm,Bitstamp,Bitstamp 3
4E73T5Zubx3kPtheJ5DB6QMEaadMQowhUcdRV6f9rvVt,CoinDCX,CoinDCX 3
G9RCBaYb8aBRxoe8QBC2ucGrVqjuZFysRhY8d56cnNT1,Binance,Binance 8
2XxP4kS2vfkiMvpLpGNxry3fPUYimsuAmSbqL1KnuwZ8,Swissborg,Swissborg 3
9qoUcyhKSWMbk6tqGUYQUpeosPcdUnJszG4eQKwfe4gL,Swissborg,Swissborg 4
2E1UKoiiZPwsp4vn6tUh5k61kG2UqYpT7oBrFaJUJXXd,Swissborg,Swissborg 5
15Fg7p6pzLo6uinCFdsx3HTWdAx4vFt8nnw2E3JWHHwh,Swissborg,Swissborg 6
E1EfU3iKUS16mB2vdgj6mi3ssV32dm2Pxh7W74XxKuYu,Bitstamp,Bitstamp 1
6fuHoq5Tr2j6dFTGWHmLUhVBUj8XvDBgdGGzgfSwe5DN,CoinDCX,CoinDCX 6
bc1qs9ut74nue7vjknz2eqxegmtuzqhjzx9y8tzjymv,Korbit,Korbit 5
51AASorYCLPcUHnuQQaau6DfsfFRixzh4HsoQwsc5Ara,LAToken,LAToken 2
8dUc88Nss8uhqzzFvUQhepkwZaVrfzpoCfKjCXGkdzAG,OKX,OKX 8
8tp9ffkz2kcrblydtunxo98ez6ojgb6mzepxfgddebzg,Robinhood,Robinhood 1
8W4u11KJYhmCY9rs2MCVHmMrgpeHLgsbkwAarbNvzr2Y,CoinDCX,CoinDCX 8
92qQCjprXoJ5GYji5it8PJTneBFxzSJ6mYosQWxYKxx4,CoinDCX,CoinDCX 11
HwgxMWxaq5cDbdVmoH24Gy8F9m9DkU7Mwgdbgh4mh2m7,CoinDCX,CoinDCX 17
Qzk5R52MedutUq3QGdMPiauR5SjbttqdBjDA5g6rf3H6,Gate.io,Gate.io 4
1347e3PfJKKcJL4XJhFeZ5UmZYRnk26Vs9aGjZ8RZLPk,LAToken,LAToken 1
14B3z6xL9vGgKz8WptoZabPrgH6adH1ev2Ven4SiTcdz,OKX,OKX 2
6NnzUC7mrM7ZgKdcMq1jPAdqh9TMgdsaVR1DNq6kce3A,OKX,OKX 4
bc1qdk55vq5vrzt44pn93t9e3rwecw2dy4pcwc5gwugd,OKX,OKX 25
2gp4phmq6mcz995xc6m8n6fn8nygjfg8p63ncy4gsp3x,OKX,OKX 29
5URmUviWsAtcciFXqgM7f1jmhvBULdQDT47dqDkrJUi,OKX,OKX 31
5LT2BQ7FFYBXW2PEDVB6KBX2F3C77WXBJ2FPVERBXXBU,KuCoin,KuCoin 4
1xXbYy1V5Sc3EQZ76wmcWy4gXTSyLbzgdDNJtGT6jEcL,Swissborg,Swissborg 8
5bJcc9eb2XE7mqcET2xDuAdMGuXWybb4YPmAHLjKLhQG,HTX,HTX 1
bc1q33m8td986p3vcnap9zqpx3d8v8zujtkvqacsya5x,Korbit,Korbit 2
bc1qnerwvz93pcj653r5yd4hnd2d7np2drhdhyruj7qd,Korbit,Korbit 4
u7q4ju4eyrd8ykvvdehryn6qyz3n4nh8ucfr8s3pgesk,LAToken,LAToken 4
7CtzEcGeYpMfR1aEi1Gbt8GRHDPH9uDB6GNTsBABqSmo,OKX,OKX 5
CeGyfZdtbjzC5FeVXCBdYE1v397yxxqYgmMcUwtouJUu,OKX,OKX 18
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,Binance,Binance 2
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,Binance,Binance 5
x5bd7de5c56d5691f32ea86c973c73fec7b1445e5973,Binance,Binance 12
2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm,Coinbase,Coinbase 2
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,MEXC,MEXC 1
57vSaRTqN9iXaemgh4AoDsZ63mcaoshfMK8NP3Z5QNbs,KuCoin,KuCoin 1
EkUy8BB574iEVAQE9dywEiMhp9f2mFBuFu6TBKAkQxFY,KuCoin,KuCoin 5
6b4aypBhH337qSzzkbeoHWzTLt4DjG2aG8GkrrTQJfQA,FTX,FTX 1
FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,Bitfinex,Bitfinex 9
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,Backpack,Backpack 1
BbHG9GvPActFGogv3iNrpDAj4qpXr8t3jF16uGxXcKci,Backpack,Backpack 8
addr1qy5dqjx4mtegqu6kx5gu6upkk96c8haf38eksj5,CoinDCX,CoinDCX 18
DdzFFzCqrhseMuShaXzLDGDBa8jGEjdEjNc83jouqdqB,Gate.io,Gate.io 2
bc1qku6z53kuyaj9r898kj6esqnwz7wke82mwgw43vhu,Korbit,Korbit 3
BEaiMhcc4Kao7B4hoq6r9m8neUpfimUMwhzugKxtkZw6,OKX,OKX 12
BhJrLQEyFyrcf1746pHATzAZQpC1uk3SJf2AHHK7LW3K,OKX,OKX 15
44DwSkZbY2PVo9wfFP21D7HG7xf5rw8QaF6xSLGSfm7P,OKX,OKX 30
BZ3kabSsMzbuJUguYxtmkRtzw7ACqw1DUMH8PcbvXiUr,Ceffu,Ceffu 3
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,Binance,Binance 1
13VagdYbCRMSBSbmz4UivPpS9SwmTTRiPtMkjoEHRm8v,Binance,Binance 6
HXsKP7wrBWaQ8T2Vtjry3Nj3oUgwYcqq9vrHDM12G664,Binance,Binance 9
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,KuCoin,KuCoin 3
6wEMcwrcF5AP9jpHWQcPxHXciWA2g217Qq81CTWjbgBw,FTX,FTX 2
YT3i7wAtjNPCTEGNbUmgL4ym9udeV5k6Utc3vCmAbky6,Bitfinex,Bitfinex 7
821dTn3JEhhqg11Q24ijxRBYXfKWngGMibTqHS8hWjZb,Rollbit,Rollbit 1
