Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
B876CK5nsaqUQz6koKATs8uhGRev5qGVuCFat4Sif1nY,523,145,1000.0,6.9,53,157,221,2,171,528.6,528.6,0.0,0.04,0.0,21103.02,1.14,1.4814814814814814,11415.02,993.41,wallet,5.0
EEqsmopVfTuaiJrh8xL7ZsZbUctckY6S5WyHYR66wjpw,254,136,1000.0,7.35,63,117,21,0,69,9738.7,9738.7,0.0,359.52,0.0,159411.8,0.0,1.1402508551881414,5494.68,797.06,wallet,4.0
BYmBdD7HhkquY2q5UdsLAUsUZgFZbjhRPHZKJUDLMLM5,64,61,1000.0,16.39,64,80,8,0,78,445.8,445.8,0.0,0.48,159.0,6999.01,0.2,1.2150668286755772,1059.9,0.0,wallet,1.0
3U1iuSffE5hBCRxGs4AMMEfVi6bbmqX2bPfTy86NBGba,729,28,113.0,4.04,46,30,28,1,5,118.7,118.7,0.0,0.02,0.0,0.0,0.0,1.9824561403508767,11580.58,390.45,wallet,224.0
6TqVKVKredqiEQfJs2eE23qMJWi2RpozRD2yqUczZA7G,80,1,35.0,35.0,22,24,0,0,24,121.2,121.2,0.0,0.0,0.0,0.0,0.0,1.1290322580645162,0.0,0.0,unknown,83.0
3wgsKB1RvT8v8wrpBcfrWytXkUEHwBAjdHWQ2yKDtoYo,216,21,160.0,7.62,29,54,6,0,20,890.1,890.1,0.0,1.02,0.0,9470.0,114.07,1.28,492.25,0.0,wallet,17.0
5BVL5ozRvNEGL5mdK3Gq12RwWmhrAKByMh4858fD1Ydb,1361,181,1000.0,5.52,56,262,129,1,39,652.6,652.6,0.0,0.02,0.0,2321.37,0.0,1.893939393939394,21456.54,2883.54,wallet,103.0
9drScLzuozC5rsBtUYnMkdcHoXBNWt9EQnKP67PDuiey,906,5,9.0,1.8,16,5,0,0,4,140.2,140.2,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,wallet,696.0
Cbm2ooLoSSpf1KQ9pJFJjiiiq1PxTDt14sdNrVaeGNrM,85,35,1000.0,28.57,33,158,5,19,120,2563.7,2563.7,0.0,0.01,0.0,0.0,0.0,1.3850415512465375,1420.21,0.01,wallet,3.0
2Rev34DHRfKUGszGkWjZpEJmwH25chXfeGLpUCJTizCw,1550,54,999.0,18.5,42,79,52,3,17,291.2,291.2,0.0,0.02,0.0,0.0,0.0,10.51578947368421,11827.24,63.62,wallet,578.0
