source,destination,amount,usdamount
13XG1h2iaf8fWuw4R6w2uguAuVixpuLR9zge3p8HogKS,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,1880.2,0.0
1JDGFkBEndqXfEp8BBpqEPyrgqjW1N7WnJoDUnmw5ax,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,26.5,0.0
216w2JHpaXBpt6A47W6BXMWA7Vhs2D6VFgUUZZPN2k5i,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,6.1,0.0
21SJpVwqf5WJxvWhros6NCVn7LRyzESTJJ81umTewduv,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,600.7,0.0
271qbtXXCJ1jyGqvJBqddRx5fq5i6p9VQMoRsUnvT6h1,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,1678.0,0.0
2BaSLXSR3M3aqetgwiSopkhhR9i32CbqYtpq5Zmhj9tu,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,148.0,0.0
2EnH4zsoBDRvUL7hUK3mt9yruKkZvPMS7nyYaoGmJMjT,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2570.7,0.0
2Es17DHwDR98s3wnbHAQDitWMb19t6VSx2tiRogK4YZJ,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,3.8,0.0
2KBQHhaRdUUoNFTNj6Qym8NYhrd8j8rm8TkZCJp42X1S,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,11208.8,0.0
2KqsnoArSBCBo3R1wjWC1jWZmpZAJqafLsWbHTLQgeZq,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,7293.1,0.0
2M2kWEFNusufSaPS7mb6PtRV6f1B7UobSVipWmUYBLWT,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,4041.7,0.0
2M2vBYafh51b4VhGmg793UZi8VSGP35UNyH49eDBBLWT,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,140.2,0.0
2N616KrvWoZ1LFwYsiLvzmdGTptkYaeq5aHjLKziRR2k,GK35nWN6ZHSGZrRTf8kTQd8RkFCighChPEb41XwSFVAC,11.100000000000001,0.0
2aAShbr36r6soEZSdbNpZ4dkKyPnFBEeRxoLvcZF7e8r,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,4.9,0.0
2bDpg6g7faZq9LMKDgfaCeh5Utjcysaaw1C7HiJnwiWo,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,1736.8,0.0
2eYfi5CsXTDxbPjvF9nxmoFtHBKUNDhrPRbKaN5hKt7S,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,4.7,0.0
2h5csM8SVkAJTDeksbDf1PcoS2wfTxyD4ffFfMDJrVai,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,3.0,0.0
2jhhda2yvvQoQR1815Ug3XaMyJB7Vnkr4k9yNQPL3Jkk,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,7.8,0.0
2m4mUHjPNybodZcZXqB71GKVE1Qv9V4cjkUisieqb5k5,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,8.6,0.0
2mjUyELrLUckCJgWb6d2fQzaDsPNMxTo492BSWB8dTtL,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,6.0,0.0
2pHoGqp3t5WxodG3BKsetrjUwbAeWgNr8zGZScPwvAdi,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,0.0,500000.0
2pfuYD5rpy4RPEGBdym3taU3CEPVhzLZdMBWCQRdNvV1,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,4.2,0.0
2sVAhGzjvWPxkeVkxGNSb4BPxGGtQrrkSJsQrdqpwN4v,6oCa9Tz8VXVp63WiFyruE5PD6yXz3pCsv6oGzUGvg9TP,10.5,0.0
