Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
8MqRTAQnjhDYH7TWS1b1DjFog4CLZfySWE5cZeotG2VW,454,32,1000.0,31.25,40,12,2213,0,8,5447.6,2747.6,0.0,1.6,0.0,0.0,0.0,6.211180124223603,391.01,81.64,wallet,92
EcGfuxwkM3ujBWaty5VW7H9mjJLd7LkY3m7nJZ6Sv7Sy,381,20,1000.0,50.0,26,7,132,2,7,11294.0,11294.0,0.0,0.0,0.0,680054.64,0.0,2.3094688221709005,600.63,79.84,unknown,258
HkhdgsU57PHfEuQrVXFt4AWRX2GtTCkVXytNJQBTjEpm,522,80,1000.0,12.5,36,22,63,0,38,3272.9,3272.9,0.0,0.0,0.0,0.0,0.0,1.4367816091954022,693.0,0.01,unknown,30
HhtBaBRwnyCtYkG2d3bk7MVcZRcx3ZjX3WbJq4mdQgzx,290,75,1000.0,13.33,37,67,56,3,18,107.5,107.2,0.0,0.0,0.0,0.0,0.0,1.2345679012345678,6208.38,1113.72,wallet,1
X4WW7strjS4uAGdgwF3tYcoBJZ284py2kbty52Gj7yK,1643,64,97.0,1.52,28,11,46,1,5,1331.0,1331.0,0.0,0.36,0.0,63440.0,0.0,1.1547619047619049,5751.01,0.0,wallet,688
Ehf5vrgtCgxrJscYDK5ogpBDFUn1JsmusWhP5q4prAgP,1404,54,83.0,1.54,26,10,33,0,5,923.8,923.8,0.0,0.01,0.0,7440.0,0.0,1.0921052631578947,9703.65,0.0,wallet,504
AQ3Yf72oUarCRa5qkpaywCWvQuV9tLM7HcRqqEQa75J3,806,34,163.0,4.79,24,8,32,3,11,21615.2,21615.2,0.0,0.0,0.0,0.0,1.0,1.613861386138614,2604.96,93.68,unknown,106
Fst12WwEMiSYC6GdFSDtjMNMKuYdrhmR9pQtoeCDjsDd,1714,31,111.0,3.58,23,23,27,0,6,1081.4,1081.4,0.0,0.0,0.0,199800.0,0.0,2.707317073170732,4059.98,74.97,wallet,833
9XoUT2E8ehhhPgQZeprPcDvP2BuZZCma7JwkygL5equX,1674,149,326.0,2.19,26,11,25,0,10,997.0,997.0,0.0,2954.7,0.0,0.0,0.0,1.5902439024390245,0.0,0.0,wallet,9
476aVbst7TgcQ3sU9Dw6rXXrNFGmFtXQ55x1nDxyxBJh,1271,37,49.0,1.32,26,7,23,0,4,17922.4,17922.4,0.0,0.19,0.0,0.0,0.0,1.1136363636363635,4116.23,0.0,wallet,633
